"","subject","anode_pavBias_pun","anode_pavBias_rew","sham_pavBias_pun","sham_pavBias_rew"
"1",11,0.177777777777778,0.111111111111111,0.133333333333333,0
"2",18,-0.133333333333333,0.133333333333333,-0.133333333333333,0.288888888888889
"3",28,0.0888888888888889,-0.733333333333333,0.0888888888888889,-0.288888888888889
"4",30,0.177777777777778,0.222222222222222,0.711111111111111,0.8
"5",33,0,0.0444444444444445,0.0444444444444444,0
"6",43,0,0.0444444444444445,0.0444444444444445,0
"7",54,-0.0222222222222223,-0.0666666666666667,0.0222222222222223,-0.155555555555556
"8",59,0.0888888888888889,-0.488888888888889,-0.0222222222222223,0.866666666666667
"9",60,0.0888888888888889,0.0444444444444444,0.155555555555556,0.0888888888888889
"10",63,0.0444444444444445,0.0222222222222223,0,0.0222222222222221
"11",64,-0.177777777777778,-0.0888888888888888,-0.177777777777778,0
"12",73,-0.177777777777778,0.933333333333333,0.333333333333333,-0.111111111111111
"13",76,-0.0444444444444445,0.155555555555556,0.0666666666666667,0
"14",79,-0.0666666666666667,0.311111111111111,0.0222222222222221,0.111111111111111
"15",86,-0.0222222222222223,0,0.0666666666666667,0
"16",91,-0.0222222222222223,0.911111111111111,0.133333333333333,0.111111111111111
"17",101,0.222222222222222,0,0.422222222222222,0.8
"18",104,0.0222222222222223,0.0222222222222223,0.111111111111111,0.977777777777778
"19",105,0.0888888888888889,-0.0444444444444445,-0.177777777777778,0.0444444444444444
"20",107,0,0.0444444444444444,0.0666666666666668,0.0444444444444445
"21",108,0.0222222222222223,-0.0222222222222221,0,0
"22",109,-0.133333333333333,0.111111111111111,-0.111111111111111,0.0666666666666667
"23",110,-0.0444444444444445,0,0.0222222222222221,0.0222222222222221
"24",112,0,0.0666666666666667,0.0666666666666667,0
"25",121,-0.0666666666666668,-0.133333333333333,0.0888888888888889,-0.0666666666666667
"26",125,0.0444444444444444,-0.0444444444444444,-0.0222222222222223,0
"27",127,-0.0444444444444445,0.0444444444444444,-0.0222222222222223,0.0444444444444444
