"","subj_list_sham","xi","ep","b","piRew","piPun","rhoRew","rhoPun"
"1",15,0.121049868965746,0.223659277385507,1.29666117220037,-0.0978690219617383,0.6851567681368,13.8668780603991,10.0759346478088
"2",30,0.125722298703925,0.0751530868676471,2.53538182994028,0.308401114260207,1.84979493744072,12.316099867453,13.5829321298037
"3",54,0.0900285438949154,0.161936544455602,0.158016757292941,-0.14384624235894,0.394548689501807,17.7300148832685,4.43599322682627
"4",43,0.0940206897508443,0.328544398388378,0.00494244483957532,-0.0823002994023972,-0.199945675895183,18.8503372069861,4.30290370574656
"5",11,0.103607964785626,0.257812982377964,0.245786356627441,0.0531473623910291,0.521898831781579,20.6216464795954,15.6455506624827
"6",27,0.0764943937277536,0.375693015282287,1.5404161516866,-0.459843727073395,0.216911104561558,20.3191102264672,8.2633539672388
"7",73,0.120271502626922,0.155250641049193,0.833384418088387,-0.653809804637151,0.99258741255392,11.0799506298411,5.11401919724006
"8",79,0.0674332637449106,0.394895948128714,0.281246174450958,-0.248043966099252,0.277933898818004,21.2760805761019,8.83779435013365
"9",101,0.135634336531614,0.264004580980908,2.05793831176068,0.300559701898975,1.02154887669058,7.1810356962734,24.0793599945509
"10",108,0.0847729437457543,0.310344202370229,1.03926724036189,-0.0875135992371087,-0.124025194104661,17.304895646968,10.628733782051
"11",110,0.0665261961689359,0.563835584560284,1.46556763599873,-0.171724257013676,0.487027053330689,26.5031559837359,14.5733054274212
"12",104,0.0683322834594434,0.639758479136634,4.17128922293021,0.180953625124195,0.396209308188175,4.17630386372158,16.3712571716991
"13",125,0.107648403670703,0.710752630004482,2.47614773727005,-0.31926794425851,-1.18130392162907,34.1808044758127,25.8489724781655
"14",69,0.120224926459508,0.302156956044277,0.414295207189445,-0.307462529888607,0.455053036917348,12.267194967775,6.23078698906977
