"","subj_list_anode","xi","ep","b","piRew","piPun","rhoRew","rhoPun"
"1",28,0.0386304034666739,0.489950038890362,-2.68140889890644,0.300213899821406,-0.492522991404867,2.88769580453236,6.94775225646628
"2",18,0.0592906278840249,0.190531719290949,0.310236837031982,-0.095183785799933,-0.368998150426324,13.5956315919242,10.4774036080124
"3",33,0.0191541013884874,0.670990033623621,-0.18735481719774,-0.273147094703282,0.107152760447999,13.1174322307549,7.88743125770174
"4",60,0.0333805870797608,0.472063435972407,0.162375421320702,0.0335943191931123,-0.044486796390483,24.1644296185919,8.17989679949409
"5",63,0.0199456808958483,0.517290601358705,-0.866398422661658,0.1307200920314,-0.143429029320493,28.972550819308,4.7565590953832
"6",64,0.0859817189718557,0.668867564985994,-0.0921129127466329,0.0121083070398076,-0.0935082911853007,8.5826230408414,2.27709312684907
"7",76,0.0355550482268942,0.630596610930947,-0.28361887762647,0.310306509313759,0.156550246185715,23.5846415382394,5.10757825911265
"8",91,0.0304606895720543,0.372486625147979,0.492344150954678,0.25295730354275,0.174390665107806,21.8162743265647,7.48923231998048
"9",86,0.068642741348257,0.791590152284927,-0.133413584311971,0.0184313421688968,-0.0520630855350813,5.43443884710464,3.9110797875582
"10",59,0.0428502447980892,0.0419854780988421,-0.165458779781302,-0.66859413732836,0.0385843326579574,8.24773959952352,4.52952834132179
"11",105,0.0399185274234645,0.127834176389422,0.024949622119537,0.121000909909921,0.0558340152337782,11.4587846454246,11.748615264321
"12",107,0.0354958551375768,0.390589567779866,0.636246903151726,-0.51574301046463,0.121009572623697,15.1718055501052,10.5928731250305
"13",109,0.0385130225201282,0.819076027137184,0.693258593778257,0.0505311030600065,-0.0509848188680247,37.8270446070925,4.24823536647875
"14",112,0.0241018480685744,0.498425075009842,0.458902024403558,-0.337580316619282,-0.0456616480070109,12.9743247568076,5.54160630400095
"15",121,0.0221950197639843,0.332886269642745,0.15771259413506,0.567598103515581,-0.242167180914712,31.2160909078893,9.07803419444601
"16",127,0.0167382224740683,0.352635302186762,0.131160542268892,-0.0135171774553033,-0.223891218571117,24.7378927744776,9.60872272296458
"17",103,0.0183663587282861,0.385572613067637,-0.709260492599537,0.47143020906114,0.12374957869754,48.5340016046752,8.48525772798191
