subject	block	trial	cue	cond	is_common	outcome_go	outcome_nogo	key_correct	key_pressed	is_correct	outcome	rt	shocked	tdcs
28	2	90	3	nogo_reward	0	1	0	0	0	1	0			2
28	2	91	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	92	2	go_reward	1	1	0	1	0	0	0			2
28	2	93	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	94	4	go_punish	1	0	-1	1	1	1	0	0.3271631000097841		2
28	2	95	3	nogo_reward	0	1	0	0	0	1	0			2
28	2	96	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	97	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	98	2	go_reward	1	1	0	1	0	0	0			2
28	2	99	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	100	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	101	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	102	4	go_punish	1	0	-1	1	1	1	0	0.3576398999430239		2
28	2	103	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	104	4	go_punish	1	0	-1	1	0	0	-1		1.0	2
28	2	105	4	go_punish	0	-1	0	1	1	1	-1	0.129153500078246	0.0	2
28	2	106	1	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
28	2	107	2	go_reward	1	1	0	1	0	0	0			2
28	2	108	2	go_reward	0	0	1	1	0	0	1			2
28	2	109	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	110	4	go_punish	0	-1	0	1	1	1	-1	0.1307718998286873	0.0	2
28	2	111	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	112	1	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
28	2	113	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	114	2	go_reward	1	1	0	1	0	0	0			2
28	2	115	2	go_reward	0	0	1	1	0	0	1			2
28	2	116	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	117	4	go_punish	1	0	-1	1	1	1	0	0.0774338999763131		2
28	2	118	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	119	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	120	4	go_punish	0	-1	0	1	1	1	-1	0.1523277000524103	1.0	2
28	3	121	4	go_punish	0	-1	0	1	0	0	0			2
28	3	122	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	123	4	go_punish	1	0	-1	1	0	0	-1		1.0	2
28	3	124	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	125	2	go_reward	0	0	1	1	0	0	1			2
28	3	126	2	go_reward	1	1	0	1	0	0	0			2
28	3	127	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	128	4	go_punish	0	-1	0	1	1	1	-1	0.3632159000262618	0.0	2
28	3	129	4	go_punish	1	0	-1	1	1	1	0	0.3749307000543922		2
28	3	130	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	131	4	go_punish	1	0	-1	1	1	1	0	0.2650456000119448		2
28	3	132	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	133	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	134	2	go_reward	1	1	0	1	0	0	0			2
28	3	135	2	go_reward	1	1	0	1	0	0	0			2
28	3	136	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	137	2	go_reward	1	1	0	1	0	0	0			2
28	3	138	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	139	3	nogo_reward	0	1	0	0	0	1	0			2
28	3	140	2	go_reward	0	0	1	1	0	0	1			2
28	3	141	1	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
28	3	142	3	nogo_reward	0	1	0	0	0	1	0			2
28	3	143	3	nogo_reward	0	1	0	0	0	1	0			2
28	3	144	1	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
28	3	145	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	146	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	147	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	148	2	go_reward	0	0	1	1	0	0	1			2
28	3	149	3	nogo_reward	0	1	0	0	0	1	0			2
28	3	150	1	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
28	3	151	2	go_reward	1	1	0	1	0	0	0			2
28	3	152	2	go_reward	1	1	0	1	0	0	0			2
28	3	153	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	154	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	155	4	go_punish	1	0	-1	1	0	0	-1		0.0	2
28	3	156	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	157	3	nogo_reward	0	1	0	0	0	1	0			2
28	3	158	4	go_punish	0	-1	0	1	1	1	-1	0.1144161000847816	0.0	2
28	3	159	2	go_reward	1	1	0	1	0	0	0			2
28	3	160	1	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
28	3	161	3	nogo_reward	1	0	1	0	0	1	1			2
28	3	162	4	go_punish	1	0	-1	1	1	1	0	0.1862723999656736		2
28	3	163	2	go_reward	0	0	1	1	0	0	1			2
28	3	164	4	go_punish	1	0	-1	1	1	1	0	0.2232922001276164		2
28	3	165	2	go_reward	0	0	1	1	0	0	1			2
28	3	166	4	go_punish	1	0	-1	1	1	1	0	0.1657673001755029		2
28	3	167	4	go_punish	1	0	-1	1	1	1	0	0.0933650999795645		2
28	3	168	2	go_reward	1	1	0	1	0	0	0			2
28	3	169	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	170	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	171	4	go_punish	1	0	-1	1	1	1	0	0.1226656001526862		2
28	3	172	4	go_punish	1	0	-1	1	1	1	0	0.0933274000417441		2
28	3	173	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	174	4	go_punish	1	0	-1	1	1	1	0	0.1255939998663962		2
28	3	175	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	176	2	go_reward	1	1	0	1	0	0	0			2
28	3	177	4	go_punish	1	0	-1	1	1	1	0	0.1640531001612544		2
28	3	178	1	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
28	3	179	1	nogo_punish	1	-1	0	0	0	1	0			2
28	3	180	2	go_reward	1	1	0	1	0	0	0			2
18	1	1	1	nogo_reward	0	1	0	0	1	0	1	0.4320406999904662		2
18	1	2	1	nogo_reward	1	0	1	0	1	0	0	0.3407692997716367		2
18	1	3	4	go_reward	0	0	1	1	1	1	0	0.3240555000957101		2
18	1	4	4	go_reward	1	1	0	1	1	1	1	0.3082366001326591		2
18	1	5	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	6	2	go_punish	1	0	-1	1	1	1	0	0.2882161999586969		2
18	1	7	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	8	4	go_reward	0	0	1	1	1	1	0	0.414623900083825		2
18	1	9	3	nogo_punish	1	-1	0	0	0	1	0			2
18	1	10	2	go_punish	0	-1	0	1	1	1	-1	0.2994822000619024	1.0	2
18	1	11	4	go_reward	1	1	0	1	1	1	1	0.3377488998230547		2
18	1	12	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	13	3	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
18	1	14	2	go_punish	1	0	-1	1	1	1	0	0.3913769999053329		2
18	1	15	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	16	2	go_punish	0	-1	0	1	0	0	0			2
18	1	17	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	18	4	go_reward	1	1	0	1	1	1	1	0.3371800000313669		2
18	1	19	4	go_reward	1	1	0	1	1	1	1	0.5129744000732899		2
18	1	20	4	go_reward	0	0	1	1	1	1	0	0.3449335999321192		2
18	1	21	2	go_punish	0	-1	0	1	0	0	0			2
18	1	22	3	nogo_punish	1	-1	0	0	1	0	-1	0.4450785999651998	0.0	2
18	1	23	3	nogo_punish	1	-1	0	0	1	0	-1	0.6495324999559671	1.0	2
18	1	24	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	25	3	nogo_punish	1	-1	0	0	1	0	-1	0.6611234999727458	0.0	2
18	1	26	4	go_reward	0	0	1	1	1	1	0	0.5281129998620601		2
18	1	27	2	go_punish	1	0	-1	1	0	0	-1		1.0	2
18	1	28	4	go_reward	0	0	1	1	1	1	0	0.3247489999048412		2
18	1	29	1	nogo_reward	0	1	0	0	0	1	0			2
18	1	30	2	go_punish	1	0	-1	1	1	1	0	0.4246704000979662		2
18	1	31	3	nogo_punish	1	-1	0	0	0	1	0			2
18	1	32	3	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
18	1	33	4	go_reward	1	1	0	1	1	1	1	0.3769280998967588		2
18	1	34	3	nogo_punish	0	0	-1	0	1	0	0	0.3516929000616073		2
18	1	35	2	go_punish	1	0	-1	1	0	0	-1		1.0	2
18	1	36	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	37	3	nogo_punish	1	-1	0	0	1	0	-1	0.2850562001112848	1.0	2
18	1	38	2	go_punish	1	0	-1	1	1	1	0	0.5542741999961436		2
18	1	39	4	go_reward	0	0	1	1	1	1	0	0.3793284001294524		2
18	1	40	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	41	2	go_punish	1	0	-1	1	1	1	0	0.3141501999925822		2
18	1	42	2	go_punish	1	0	-1	1	1	1	0	0.3535800999961793		2
18	1	43	2	go_punish	0	-1	0	1	1	1	-1	0.309168400010094	0.0	2
18	1	44	4	go_reward	1	1	0	1	1	1	1	0.2806548001244664		2
18	1	45	1	nogo_reward	0	1	0	0	0	1	0			2
18	1	46	2	go_punish	0	-1	0	1	1	1	-1	0.6859558001160622	0.0	2
18	1	47	3	nogo_punish	1	-1	0	0	1	0	-1	0.4066711000632495	0.0	2
18	1	48	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	49	4	go_reward	1	1	0	1	1	1	1	0.2622137998696417		2
18	1	50	4	go_reward	1	1	0	1	1	1	1	0.3293320001102984		2
18	1	51	2	go_punish	1	0	-1	1	1	1	0	0.3992274999618529		2
18	1	52	3	nogo_punish	1	-1	0	0	0	1	0			2
18	1	53	2	go_punish	1	0	-1	1	1	1	0	0.3225871999748051		2
18	1	54	3	nogo_punish	1	-1	0	0	0	1	0			2
18	1	55	3	nogo_punish	1	-1	0	0	0	1	0			2
18	1	56	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	57	3	nogo_punish	1	-1	0	0	0	1	0			2
18	1	58	4	go_reward	0	0	1	1	1	1	0	0.5080825998447835		2
18	1	59	1	nogo_reward	1	0	1	0	0	1	1			2
18	1	60	3	nogo_punish	1	-1	0	0	1	0	-1	0.499535100068897	0.0	2
18	2	61	3	nogo_punish	1	-1	0	0	1	0	-1	0.6404894001316279	1.0	2
18	2	62	1	nogo_reward	0	1	0	0	0	1	0			2
18	2	63	4	go_reward	0	0	1	1	1	1	0	0.2691461001522839		2
18	2	64	2	go_punish	1	0	-1	1	1	1	0	0.2995344998780638		2
18	2	65	1	nogo_reward	0	1	0	0	1	0	1	0.3533134001772851		2
18	2	66	2	go_punish	1	0	-1	1	1	1	0	0.3217987001407891		2
18	2	67	1	nogo_reward	1	0	1	0	1	0	0	0.3090536000672728		2
18	2	68	3	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
18	2	69	1	nogo_reward	1	0	1	0	0	1	1			2
18	2	70	1	nogo_reward	1	0	1	0	0	1	1			2
18	2	71	2	go_punish	1	0	-1	1	1	1	0	0.3888302000705153		2
18	2	72	2	go_punish	1	0	-1	1	1	1	0	0.288763599935919		2
18	2	73	4	go_reward	0	0	1	1	0	0	1			2
18	2	74	1	nogo_reward	1	0	1	0	0	1	1			2
18	2	75	3	nogo_punish	1	-1	0	0	1	0	-1	0.9643802999053148	0.0	2
18	2	76	3	nogo_punish	1	-1	0	0	0	1	0			2
18	2	77	2	go_punish	1	0	-1	1	1	1	0	0.287846100050956		2
18	2	78	2	go_punish	1	0	-1	1	1	1	0	0.251313199987635		2
18	2	79	3	nogo_punish	1	-1	0	0	0	1	0			2
18	2	80	3	nogo_punish	1	-1	0	0	0	1	0			2
18	2	81	4	go_reward	1	1	0	1	1	1	1	0.3788624999579042		2
18	2	82	4	go_reward	0	0	1	1	1	1	0	0.2985813999548554		2
18	2	83	2	go_punish	1	0	-1	1	1	1	0	0.3327830999623984		2
18	2	84	3	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
18	2	85	4	go_reward	1	1	0	1	1	1	1	0.2846739001106471		2
18	2	86	1	nogo_reward	1	0	1	0	1	0	0	0.5070825000293553		2
18	2	87	3	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
18	2	88	2	go_punish	0	-1	0	1	1	1	-1	0.3270488998387009	0.0	2
18	2	89	4	go_reward	1	1	0	1	1	1	1	0.3010807000100613		2
18	2	90	1	nogo_reward	0	1	0	0	0	1	0			2
18	2	91	3	nogo_punish	1	-1	0	0	0	1	0			2
18	2	92	2	go_punish	1	0	-1	1	1	1	0	0.2544017999898642		2
18	2	93	2	go_punish	0	-1	0	1	1	1	-1	0.481844900175929	1.0	2
18	2	94	3	nogo_punish	1	-1	0	0	0	1	0			2
18	2	95	3	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
18	2	96	4	go_reward	1	1	0	1	1	1	1	0.3119588000699878		2
18	2	97	4	go_reward	1	1	0	1	1	1	1	0.6076437998563051		2
18	2	98	4	go_reward	1	1	0	1	1	1	1	0.3208693999331444		2
18	2	99	1	nogo_reward	1	0	1	0	0	1	1			2
18	2	100	1	nogo_reward	0	1	0	0	1	0	1	0.4716723999008536		2
18	2	101	4	go_reward	1	1	0	1	1	1	1	0.3462588000111282		2
18	2	102	2	go_punish	0	-1	0	1	1	1	-1	0.3359695000108331	0.0	2
18	2	103	4	go_reward	1	1	0	1	1	1	1	0.421830200124532		2
18	2	104	1	nogo_reward	1	0	1	0	0	1	1			2
18	2	105	3	nogo_punish	1	-1	0	0	0	1	0			2
18	2	106	3	nogo_punish	1	-1	0	0	0	1	0			2
18	2	107	4	go_reward	1	1	0	1	1	1	1	0.3618964999914169		2
18	2	108	2	go_punish	1	0	-1	1	1	1	0	0.3043587000574917		2
18	2	109	3	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
18	2	110	2	go_punish	0	-1	0	1	1	1	-1	0.6171778000425547	0.0	2
18	2	111	3	nogo_punish	1	-1	0	0	0	1	0			2
18	2	112	1	nogo_reward	1	0	1	0	0	1	1			2
18	2	113	1	nogo_reward	1	0	1	0	0	1	1			2
18	2	114	1	nogo_reward	1	0	1	0	0	1	1			2
18	2	115	4	go_reward	0	0	1	1	1	1	0	0.3654328999109566		2
18	2	116	2	go_punish	0	-1	0	1	1	1	-1	0.2890282000880688	0.0	2
18	2	117	1	nogo_reward	1	0	1	0	0	1	1			2
18	2	118	2	go_punish	1	0	-1	1	1	1	0	0.5500369998626411		2
18	2	119	4	go_reward	1	1	0	1	1	1	1	0.449124600039795		2
18	2	120	4	go_reward	1	1	0	1	1	1	1	0.2632647999562323		2
18	3	121	1	nogo_reward	1	0	1	0	0	1	1			2
18	3	122	2	go_punish	1	0	-1	1	1	1	0	0.3082940999884158		2
18	3	123	4	go_reward	0	0	1	1	1	1	0	0.3061154999304563		2
18	3	124	3	nogo_punish	1	-1	0	0	0	1	0			2
18	3	125	1	nogo_reward	1	0	1	0	0	1	1			2
18	3	126	3	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
18	3	127	2	go_punish	1	0	-1	1	1	1	0	0.2894875998608768		2
18	3	128	4	go_reward	1	1	0	1	1	1	1	0.3189550000242889		2
18	3	129	1	nogo_reward	1	0	1	0	0	1	1			2
18	3	130	1	nogo_reward	0	1	0	0	0	1	0			2
18	3	131	3	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
18	3	132	2	go_punish	1	0	-1	1	1	1	0	0.3223135999869555		2
18	3	133	3	nogo_punish	1	-1	0	0	1	0	-1	0.3336972000543028	0.0	2
18	3	134	1	nogo_reward	1	0	1	0	0	1	1			2
18	3	135	2	go_punish	0	-1	0	1	1	1	-1	0.3807345000095665	0.0	2
18	3	136	3	nogo_punish	0	0	-1	0	1	0	0	0.7795726000331342		2
18	3	137	1	nogo_reward	0	1	0	0	0	1	0			2
18	3	138	1	nogo_reward	0	1	0	0	0	1	0			2
18	3	139	1	nogo_reward	1	0	1	0	0	1	1			2
18	3	140	2	go_punish	0	-1	0	1	1	1	-1	0.295705100055784	0.0	2
18	3	141	4	go_reward	0	0	1	1	1	1	0	0.5291001999285072		2
18	3	142	1	nogo_reward	0	1	0	0	1	0	1	0.8554907001089305		2
18	3	143	2	go_punish	1	0	-1	1	0	0	-1		0.0	2
18	3	144	1	nogo_reward	1	0	1	0	0	1	1			2
18	3	145	3	nogo_punish	0	0	-1	0	1	0	0	0.3121296998579055		2
18	3	146	1	nogo_reward	0	1	0	0	0	1	0			2
18	3	147	4	go_reward	0	0	1	1	1	1	0	0.2902134000323713		2
18	3	148	4	go_reward	1	1	0	1	1	1	1	0.3245087999384849		2
18	3	149	2	go_punish	1	0	-1	1	1	1	0	0.2843285000417381		2
18	3	150	4	go_reward	1	1	0	1	1	1	1	0.3327426998876035		2
18	3	151	2	go_punish	1	0	-1	1	1	1	0	0.3543871999718249		2
18	3	152	1	nogo_reward	0	1	0	0	0	1	0			2
18	3	153	1	nogo_reward	1	0	1	0	0	1	1			2
18	3	154	3	nogo_punish	1	-1	0	0	0	1	0			2
18	3	155	3	nogo_punish	1	-1	0	0	0	1	0			2
18	3	156	3	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
18	3	157	4	go_reward	1	1	0	1	1	1	1	0.3618568999227136		2
18	3	158	2	go_punish	0	-1	0	1	1	1	-1	0.3898160001263022	1.0	2
18	3	159	4	go_reward	1	1	0	1	1	1	1	0.2750750998966396		2
18	3	160	3	nogo_punish	1	-1	0	0	0	1	0			2
18	3	161	3	nogo_punish	1	-1	0	0	0	1	0			2
18	3	162	3	nogo_punish	1	-1	0	0	0	1	0			2
18	3	163	4	go_reward	1	1	0	1	1	1	1	0.3971829998772592		2
18	3	164	4	go_reward	1	1	0	1	1	1	1	0.3375154000241309		2
18	3	165	1	nogo_reward	1	0	1	0	0	1	1			2
18	3	166	4	go_reward	1	1	0	1	1	1	1	0.3272542001213878		2
18	3	167	3	nogo_punish	1	-1	0	0	0	1	0			2
18	3	168	2	go_punish	0	-1	0	1	1	1	-1	0.3894846001639962	0.0	2
18	3	169	2	go_punish	1	0	-1	1	1	1	0	0.4527270998805761		2
18	3	170	4	go_reward	1	1	0	1	1	1	1	0.4307901000138372		2
18	3	171	3	nogo_punish	1	-1	0	0	0	1	0			2
18	3	172	2	go_punish	1	0	-1	1	1	1	0	0.3175284001044929		2
18	3	173	4	go_reward	1	1	0	1	1	1	1	0.3450527999084443		2
18	3	174	1	nogo_reward	1	0	1	0	0	1	1			2
18	3	175	4	go_reward	1	1	0	1	1	1	1	0.3819395999889821		2
18	3	176	2	go_punish	1	0	-1	1	0	0	-1		0.0	2
18	3	177	3	nogo_punish	1	-1	0	0	0	1	0			2
18	3	178	4	go_reward	1	1	0	1	1	1	1	0.3629176998510957		2
18	3	179	2	go_punish	1	0	-1	1	1	1	0	0.3368126000277698		2
18	3	180	2	go_punish	1	0	-1	1	1	1	0	0.3711439999751746		2
33	1	1	2	nogo_reward	1	0	1	0	1	0	0	0.40744509967044		2
33	1	2	1	go_reward	1	1	0	1	0	0	0			2
33	1	3	1	go_reward	0	0	1	1	1	1	0	0.3666387996636331		2
33	1	4	3	go_punish	1	0	-1	1	1	1	0	0.340879499912262		2
33	1	5	4	nogo_punish	1	-1	0	0	0	1	0			2
33	1	6	1	go_reward	1	1	0	1	0	0	0			2
33	1	7	2	nogo_reward	1	0	1	0	1	0	0	0.4201918998733163		2
33	1	8	4	nogo_punish	1	-1	0	0	0	1	0			2
33	1	9	1	go_reward	0	0	1	1	1	1	0	0.3310027001425624		2
33	1	10	1	go_reward	1	1	0	1	1	1	1	0.3243758999742567		2
33	1	11	4	nogo_punish	1	-1	0	0	0	1	0			2
33	1	12	3	go_punish	1	0	-1	1	1	1	0	0.5597847998142242		2
33	1	13	1	go_reward	1	1	0	1	1	1	1	0.3327131001278758		2
33	1	14	2	nogo_reward	0	1	0	0	0	1	0			2
33	1	15	4	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
33	1	16	3	go_punish	1	0	-1	1	1	1	0	0.4805054999887943		2
